brand,Marque,Year,model,modèle,terrain,terrain_fr,cushioning,cushioning_fr,Category,Catégorie,Foot strike,type de foulée,drop_mm,drop_mm,stack_mm,stack_mm_fr,Stack forefoot_mm,Stack avant-pied -mm,weight,poids,Heel rigidity (1–5),Rigidité talon (1–5),Torsional rigidity (1–5),Rigidité torsionnelle (1–5),Wide forefoot_mm,Largeur avant-pied_mm,Midfoot width_mm,Largeur médio-pied_mm,Heel width_mm,Largeur talon_mm,Internal heel high_mm,Hauteur talon interne_mm,Foam type,Type de mousse,Energy return (1–5),Retour d’énergie (1–5),Rocker type,Type de rocker,Longitudinal flexibility (N),Flexibilité longitudinale (N),Torsional flexibility (N),Flexibilité torsionnelle (N),Fit width (subjective),Largeur chaussant (subjectif),stability,stabilité,notes,notes_fr,Price,prix,link 1,link 2,link 3,image_url
ASICS,ASICS,,Gel-Kayano 31,Gel-Kayano 31,"Road, Daily running","Route, Course quotidienne","Soft,Moderate","Souple, Modéré",Stability,Stabilité,Heel,Talon,"11,5",10,"39,3",40,"27,8",30,295,311,4,4,4,4,"74,8","74,8",98.9,98.9,,,"39,3",40,"FF BLAST PLUS, Gel technology","FF BLAST PLUS, Technologie Gel",3,3,No rocker,Pas de rocker,"15,8","15,8",,,Wide,Large,Stability,Stabilité,Premium stability trainer with plush cushioning and guidance system for overpronation.,Chaussure de stabilité haut de gamme avec amorti généreux et système de guidage pour surpronation.,,,https://amzn.to/49A9bll,https://chk.me/v14Qxg1,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2925286-chaussures_running_asics_gel_kayano_31_noir_orange_homme?suggestion=1&search_term=Gel-Kayano%2031,https://m.media-amazon.com/images/I/614YP8IPlML._AC_SY575_.jpg
ASICS,ASICS,,Gel-Nimbus 26,Gel-Nimbus 26,"Road, Daily running","Route, Course quotidienne",Soft,Souple,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","8,4",8,"40,4",42,32,34,303,304,3,3,5,5,"74,2","74,2","98,1","98,1",,,"40,4",42,FF BLAST PLUS ECO,FF BLAST PLUS ECO,4,4,"Yes, mild rocker","Oui, rocker léger",14.8,14.8,,,Wide,Large,Neutral - stable platform,Neutre - plateforme stable,"Plush max-cushion daily trainer with eco-friendly foam, comfortable for long distances.","Chaussure quotidienne à amorti max avec mousse écologique, confortable pour longues distances.",,,https://amzn.to/4pqWcH4,https://chk.me/WxlLNEQ,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2827931-chaussures_running_asics_gel_nimbus_26_bleu_orange_homme,https://m.media-amazon.com/images/I/61mBeZgmwPL._AC_SX575_.jpg
ASICS,ASICS,,GT-2000 12,GT-2000 12,"Road, Daily running","Route, Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Stability,Stabilité,"Heel, Mid/forefoot","Talon, Médio/avant-pied",10,8,"36,6","34,5","26,6","26,5",275,266,4,4,4,4,"78,9","78,9",,,,,"36,6","34,5","FF BLAST, Gel technology","FF BLAST, Technologie Gel",3,3,No rocker,Pas de rocker,16.1,16.1,,,Medium,Moyen,Stability with Guidance Trusstic system,Stability with Guidance Trusstic system,"Reliable stability trainer with Gel cushioning and Guidance Line, ideal for daily runs and overpronation.","Chaussure de stabilité fiable avec amorti Gel et Guidance Line, idéale pour quotidien et surpronation.",,,https://amzn.to/43J1BRI,https://chk.me/hYOVXeQ,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2827918-chaussures_running_asics_gt_2000_12_vert_orange_jaune_homme?suggestion=1&search_term=asics%20gt%202000%2012,https://m.media-amazon.com/images/I/61mBcgWE-SL._AC_SY575_.jpg
ASICS,ASICS,,Gel-Nimbus 27,Gel-Nimbus 27,"Road, Daily running","Route, Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","8,3",8,"42,7",44,"34,4",36.0,299,305,4,4,5,5,"73,8","73,8",97.0,97.0,,,"42,7",44,"FF BLAST PLUS ECO, PureGE","FF BLAST PLUS ECO, PureGE",4,4,"Yes, enhanced rocker","Oui, rocker amélioré","20,2","20,2",,,Medium,Moyen,Neutral - stable platform,Neutre - plateforme stable,Updated plush max-cushion trainer with improved FF BLAST PLUS ECO foam and enhanced comfort.,Chaussure à amorti max mise à jour avec mousse FF BLAST PLUS ECO améliorée et confort renforcé.,,,https://amzn.to/3KigFz2,https://chk.me/6ObyQjb,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3094546-chaussures_running_asics_gel_nimbus_27_bleu_homme,https://m.media-amazon.com/images/I/61LDRH2gPtL._AC_SY575_.jpg
ASICS,ASICS,,Gel-Kayano 32,Gel-Kayano 32,"Road, Daily running","Route, Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Stability,Stabilité,"Heel, Mid/forefoot","Talon, Médio/avant-pied","9,3",8,"39,9",40,"30,6",32,295,304,5,5,5,5,"73,9","73,9","96,6","96,6",,,"39,9",40,"FF BLAST™ PLUS ECO, PureGEL™","FF BLAST™ PLUS ECO, PureGEL™",3,3,"Yes, 4D GUIDANCE System","Oui, système 4D GUIDANCE","16,9","16,9",,,Medium,Moyen,Stability with 4D GUIDANCE System,Stabilité avec système 4D GUIDANCE,"Premium stability trainer with 4D GUIDANCE system, plush cushioning for overpronation control.","Chaussure de stabilité haut de gamme avec système 4D GUIDANCE, amorti généreux pour contrôle surpronation.",,,https://amzn.to/44kq0Nv,https://chk.me/YPZjRJG,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3094355-chaussures_running_asics_gel_kayano_32_bleu_orange_homme?suggestion=1&search_term=gel-kayano%2032,https://m.media-amazon.com/images/I/617IA4M-oML._AC_SY575_.jpg
ASICS,ASICS,,Magic Speed 4,Magic Speed 4,"Road,Competition, Tempo","Route,Compétition, Tempo",Soft,Souple,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","9,6",8,"42,5","43,5","32,9","35,5",237,242,1,1,5,5,74.3,74.3,93.6,93.6,,,"42,5","43,5","FF BLAST TURBO, carbon plate","FF BLAST TURBO, plaque carbone",4,4,"Yes, carbon plate rocker","Oui, rocker plaque carbone","26,5","26,5",,,Medium,Moyen,Neutral with carbon plate stability,Neutre avec stabilité plaque carbone,"Carbon plate tempo shoe with FF BLAST TURBO foam, versatile for racing and fast training","Chaussure de tempo avec plaque carbone et mousse FF BLAST TURBO, polyvalente pour course et entraînement rapide.",,,https://amzn.to/4ogMVAH,https://chk.me/5HOmYZQ,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3094372-chaussures_running_asics_magic_speed_4_bleu_blanc_homme?suggestion=1&search_term=magic%20speed%204,https://m.media-amazon.com/images/I/610ws2agagL._AC_SY575_.jpg
ASICS,ASICS,,Gel Contend 9,Gel Contend 9,"Road, Daily running","Route, Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","7,8",8,"31,2",31,"23,4",23,275,275,4,4,3,3,74.1,74.1,"96,9","96,9",,,"31,2",31,"AMPLIFOAM, Rearfoot GEL","AMPLIFOAM, GEL arrière-pied",2,2,No rocker,Pas de rocker,"10,7","10,7",,,Medium,Moyen,Neutral,Neutre,"Affordable daily trainer with GEL cushioning, reliable for beginners and light running.","Chaussure quotidienne abordable avec amorti GEL, fiable pour débutants et running léger.",,,https://amzn.to/4oc5IwU,https://chk.me/g0YGdlV,,https://m.media-amazon.com/images/I/61Ko7-upWbL._AC_SY575_.jpg
ASICS,ASICS,,Metaspeed Sky Paris,Metaspeed Sky Paris,"Road,Competition","Route,Compétition",Balanced,Équilibré,Neutral,Neutre,Mid/forefoot,Médio/avant-pied,"6,5",5,"39,1","39,5","32,6","34,5",183,181,2,2,5,5,"73,4","73,4",92.3,92.3,,,"39,1","39,5",FF TURBO+,FF TURBO+,5,5,"Yes, aggressive carbon plate rocker","Oui, rocker plaque carbone agressif","23,6","23,6",,,Medium,Moyen,Neutral with carbon plate stability,Neutre avec stabilité plaque carbone,"Elite racing shoe with carbon plate and FF TURBO+ foam, designed for stride runners and race day.","Chaussure de course élite avec plaque carbone et mousse FF TURBO+, conçue pour coureurs à grande foulée et compétition.",,,https://amzn.to/4ob6v12,https://chk.me/dcbaRjC,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2828024-chaussures_running_asics_metaspeed_sky_paris_jaune_rouge_unisexe?suggestion=1&search_term=Metaspeed%20Sky%20Paris,https://m.media-amazon.com/images/I/6141vlpRdjL._AC_SY575_.jpg
ASICS,ASICS,,GT-2000 13,GT-2000 13,"Road, Daily running","Route, Course quotidienne","Soft,Moderate","Souple, Modéré",Stability,Stabilité,"Heel, Mid/forefoot","Talon, Médio/avant-pied","9,5",8,"36,6",36,"27,2",28,264,266,4,4,5,5,"73,3","73,3",96,96,,,"36,6",36,"FF BLAST, Gel technology","FF BLAST, Gel technology",3,3,No rocker,Pas de rocker,"15,7","15,7",,,Medium,Moyen,Stability with Guidance Trusstic system,Stabilité avec système Guidance Trusstic,"Reliable stability trainer with Gel cushioning and Guidance Line, ideal for daily runs and overpronation.","Chaussure de stabilité fiable avec amorti Gel et Guidance Line, idéale pour quotidien et surpronation",,,https://amzn.to/49TwRkT,https://chk.me/sNMSQnX,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2925285-chaussures_running_asics_gt_2000_13_noir_bleu_homme?suggestion=1&search_term=GT-2000%2013,https://m.media-amazon.com/images/I/61XXL2m4NnL._AC_SY575_.jpg
Brooks,Brooks,,Ghost 16,Ghost 16,"Road, Daily training","Route, Entraînement quotidien",Moderate,Modéré,Neutral,Neutre,Heel,Talon,"12,4",12,"35,1",36,"22,7",24,266,266,5,5,3,3,72.1,72.1,"96,1","96,1",,,"35,1",36,DNA Loft v3 (nitrogen-infused),DNA Loft v3 (infusé azote),3,3,No rocker,Pas de rocker,"9,6","9,6",,,Medium,Moyen,Neutral,Neutre,Classic high-drop daily trainer,Entraîneur quotidien classique haut drop,,,https://amzn.to/4oY11In,https://chk.me/V83FxBt,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2819784-chaussures_running_brooks_ghost_16_noir_homme?suggestion=1&search_term=Ghost%2016,https://product-cdn-frz.alltricks.com/large/472/792472/2792472/5822333
Brooks,Brooks,,Adrenaline GTS 23,Adrenaline GTS 23,"Road, Daily training","Route, Entraînement quotidien",Moderate,Modéré,Stability,Stabilité,Heel,Talon,"12,6",12,"34,1",36,"21,5",24,286,294,4,4,4,4,"99,9","99,9",,,,,"34,1",36,DNA LOFT v2,DNA LOFT v2,3,3,No rocker,Pas de rocker,"10,4","10,4",,,Medium,Moyen,Stability with GuideRails support,Stabilité avec support GuideRails,Reliable stability trainer. Soft yet supportive. Smooth heel-to-toe transition. Ideal for overpronation.,Chaussure de stabilité fiable. Souple mais supportive. Transition talon-orteil fluide. Idéal pour la surpronation.,,,https://amzn.to/4ohuPyq,https://chk.me/fm0hONw,,https://www.running-conseil.com/media/catalog/product/cache/be2756470c7e99ab2f484daa793a5f22/b/r/brooks-adrenaline_gts_23_6_.jpg
Brooks,Brooks,,Glycerin Max,Glycerin Max,"Road, Daily training","Route, Entraînement quotidien",Soft,Souple,Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","6,6",6,"42,3",47,"35,7",41,305,309,3,3,4,4,"74,3","74,3","94,5",94.5,,,"42,3",47,DNA LOFT v3,DNA LOFT v3,3,3,No rocker,Pas de rocker,"18,3","18,3",,,Medium to wide,Moyen à large,Neutral,Neutre,"Maximum cushion version of Glycerin with higher stack, plush ride for long runs and recovery.","Version à amorti max du Glycerin avec stack plus élevé, ride généreux pour longues sorties et récupération.",,,https://amzn.to/47XTL9h,https://chk.me/oXp7hE3,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208716&url=https%3A%2F%2Fwww.alltricks.fr%2FF-11912-chaussures-running%2FP-3090322-chaussures_running_brooks_glycerin_max_jaune_bleu_homme,https://product-cdn-frz.alltricks.com/large/274/927274/2927274/6262205
Brooks,Brooks,,Ghost Max 2,Ghost Max 2,"Road, Daily running","Route,Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Neutral,Neutre,"Heel, Mid/forefoot","Talon, Médio/avant-pied","9,9",6,39,39,"29,1",33,305,309,4,4,4,4,71,71,"96,5","96,5",,,39,39,DNA LOFT v3,DNA LOFT v3,3,3,"Yes, Glideroll rocker","Oui, rocker Glideroll",20,20,,,Medium,Moyen,Neutral with wide platform,Neutre avec plateforme large,Max cushion version of Ghost with smooth rocker for comfortable daily miles.,Version à amorti max de Ghost avec rocker fluide pour sorties quotidiennes confortables,,,https://amzn.to/47W1ogm,https://chk.me/z9AH30P,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-2919225-chaussures_running_brooks_ghost_max_2_bleu_homme,https://product-cdn-frz.alltricks.com/large/479/792479/2792479/5822387
Brooks,Brooks,,Adrenaline GTS 24,Adrenaline GTS 24,"Road, Daily running","Route,Course quotidienne","Balanced, Moderate","Équilibré, Modéré",Stability,Stabilité,Heel,Talon,"13,5",12,39,39,"25,5",27,291,283,4,4,4,4,"73,7",73.7,95.1,95.1,,,39,39,DNA LOFT v3,DNA LOFT v3,3,3,No rocker,Pas de rocker,"10,1","10,1",,,Medium,Moyen,Stability with GuideRails support,Stabilité avec support GuideRails,"Updated stability trainer with softer DNA LOFT v3, comfortable for daily miles and overpronation control.","Chaussure de stabilité mise à jour avec DNA LOFT v3 plus souple, confortable pour quotidien et contrôle surpronation.",,,https://amzn.to/4rfDtA9,https://chk.me/AOrg57z,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208603&url=https://www.alltricks.fr/F-11912-chaussures-running/P-3147413-chaussures_running_brooks_adrenaline_gts_24_jaune_bleu_homme,https://product-cdn-frz.alltricks.com/large/245/966245/2966245/6515696
Brooks,Brooks,,Glycerin 22,Glycerin 22,"Road, Daily running","Route,Course quotidienne",Soft,Souple,Neutral,Neutre,Heel,Talon,"10,3",10,"38,5",38,"28,2",28,293,289,3,3,4,4,73.7,73.7,"96,3","96,3",,,38.5,38,DNA LOFT v3,DNA LOFT v3,3,3,No rocker,Pas de rocker,15,15,,,Medium,Moyen,Neutral,Neutre,"Plush max-cushion daily trainer with soft ride, ideal for comfortable long runs and recovery.","Chaussure quotidienne à amorti max avec ride souple, idéale pour longues sorties confortables et récupération.",,,https://amzn.to/4oXCrax,https://chk.me/w09J0Hj,https://track.effiliation.com/servlet/effi.redir?id_compteur=23208716&url=https%3A%2F%2Fwww.alltricks.fr%2FF-11912-chaussures-running%2FP-3157856-chaussures_running_brooks_glycerin_22_run_visible_noir_orange_homme,https://product-cdn-frz.alltricks.com/large/871/952871/2952871/6493807
